text_processed,translate_en
amit amit... kejadian kayak begini bikin dia besar kepala memalukan,amit amit ... events like this make him big shameful head
presiden prabowo bakal pidato poltik di may day monas naik maung dari istana prabowo hariburuh mayday,President Prabowo will be a poltic speech at May Day Monas on Maung from Prabowo Hariburuh Mayday Palace
lepaskan hidup dari dendam,let go of life from revenge
sayang nya pak presiden subianto tidak merasa terhina ketika preman menghina purnawirawan bau tanah sekelas pak sutyoso pendidikan militer dan pencapaian nya luar biasa seenak nya di hina oleh preman di biarkan oleh presiden seakan situasi ini sengaja diciptakan ?,"Unfortunately, Mr. President Subianto did not feel insulted when thugs insulted retirement of the smell of land of the same class as the military education and his achievements were extraordinary as insulted by thugs were allowed by the president as if this situation was deliberately created?"
heran..kok bisa balas dendam ya..pdhl dia udah pensiun berarti masih tetap pegang kendali pemerintahan yang .dipimin prabowo,surprised ... you can get revenge huh ... but he has retired means still still holding the control of the government. Dipimin Prabowo
bubarin aja ini negara gak usah nunggu kalo pemerintahannya cemen. gak berani menindak tegas koruptor dan preman. gak berani ma mulyoni...cemen!,Just disperse this country doesn't need to wait if the government is cemen.Do not dare to crack down on corruptors and thugs.Don't dare Ma Mulyoni ... Cemen!
ridwan bae apresiasi komitmen presiden prabowo subianto pada infrastruktur nasional luar biasa! bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarpedia,Ridwan Bae appreciated President Prabowo Subianto's commitment to extraordinary national infrastructure!Bahlillahadalia Kuningkeren Golkarindonesia Golkarpedia
prabowo gak bego membiarkan cebong tolol jadi presiden di,Prabowo isn't stupid to let the stupid tadpole become president in
oowh pantas.. begini caramu mendoktrin diri sendiri dengan selalu mendengarkan berita negatif berulang ulang hingga mempertebal kebencianmu,Oowh deserves .. this is how you indoctrin yourself by always listening to negative news repeatedly to strengthen your hatred
dankorbrimob polri hadiri pembukaan rakernis gabungan divisi polri rabu . kepala kepolisian negara republik indonesia kapolri jenderal polisi listyo sigit prabowo secara resmi membuka rapat kerja teknis rakernis gabungan divisi polri t.a. .,Dankorbrimob Polri attended the opening of the Rakernis Joint National Police Division Wednesday.The Head of the National Police of the Republic of Indonesia National Police Chief General Police Listyo Sigit Prabowo officially opened the Technical Work Meeting of the Rakernis Joint Rakernis Polri T.A..
sudah ke pengadilan tunggu saja prosesnya nggak usah koar koar merasa terzolimi memfitnah orang juga kalo nggak terbukti juga mendzolimi jangan nanti kalah di pengadilan bikin opini lagi merasa terzolimi perkuat saja buki buktinya di pengadilan itu nanti adu bukti dan fakta.,"Already to the court, just wait for the process, you don't need to go, you feel wronged to slander people if they are not proven to also not dwall up, don't lose later in the court, making opinions again, feel frustrated, just strengthen the evidence in the court, then the evidence and facts."
met pagi sis tetep semangad jaga pak pak dan mas dr serangan hoax gerombolan kalah pilpres,Met morning sis keeps the spirit to guard Pakpak and mas from the Hoax attacks losing the presidential election
buat gaduh dan membuat rakyat takut pak . masa seperti ngancam mau kerahkan ratusan ribu ke jabar? ormas kok rasa preman? bubarkan saja pak gk penting ormas yang rasa preman.,"Make noise and make people afraid of sir.Is it like a threatening to mobilize hundreds of thousands to West Java?CSOs how come the taste of thugs?Just dissolve Mr. GK, important mass organizations."
mutasi di tni itu hal yang wajar,mutation in the TNI is a natural thing
siapa bilang tidak kenal dengan si preman her culas,who said he didn't know the thugs he culas
